id,question,category,tags
3414,"Does ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL expire? How long can I keep it?",Storage,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label;expiration"
3415,"What should I do if I take too much ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL?",Overdose,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label;overdose"
3416,"What should I know about ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL before taking it?",General,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label"
3417,"What should I know about ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL before taking it?",General,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label"
3418,"What should I know about ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL before taking it?",General,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label"
3419,"What should I know about ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL before taking it?",General,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label"
3420,"What should I know about ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL before taking it?",General,"acetaminophen, dextromethorphan hbr, doxylamine succinate, phenylephrine hcl;fda;label"
3421,"What are the warnings for BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE?",Warnings,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;warnings"
3422,"Should I avoid BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE if I have certain conditions?",Warnings,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;warnings;contraindications"
3423,"How should I take BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE?",Dosage,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;dosage"
3424,"What is the recommended dose of BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE?",Dosage,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;dosage"
3425,"Can I take BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE with food?",Dosage,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;dosage;food"
3426,"Can I take BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE with alcohol?",Drug Interactions,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;alcohol;interactions"
3427,"Can I take BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE with my other prescriptions?",Drug Interactions,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;interactions"
3428,"How do I store BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE?",Storage,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;storage"
3429,"What if I miss a dose of BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE?",Dosage,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;missed dose"
3430,"Is BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE safe for children?",Children,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;children;pediatric"
3431,"Can I take BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE if I have kidney disease?",Special Populations,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;kidney"
3432,"Can I take BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE if I have liver disease?",Special Populations,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;liver"
3433,"Does BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE expire? How long can I keep it?",Storage,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;expiration"
3434,"What should I do if I take too much BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE?",Overdose,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label;overdose"
3435,"What should I know about BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE before taking it?",General,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label"
3436,"What should I know about BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE before taking it?",General,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label"
3437,"What should I know about BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE before taking it?",General,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label"
3438,"What should I know about BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE before taking it?",General,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label"
3439,"What should I know about BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE before taking it?",General,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label"
3440,"What should I know about BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE before taking it?",General,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate;fda;label"
3441,What are the warnings for DIAZEPAM?,Warnings,diazepam;fda;label;warnings
3442,Should I avoid DIAZEPAM if I have certain conditions?,Warnings,diazepam;fda;label;warnings;contraindications
3443,Does DIAZEPAM interact with other medications?,Drug Interactions,diazepam;fda;label;interactions
3444,Can I take DIAZEPAM with blood pressure medication?,Drug Interactions,diazepam;fda;label;interactions;blood pressure
3445,Can I take DIAZEPAM with ibuprofen or aspirin?,Drug Interactions,diazepam;fda;label;interactions;nsaid
3446,Who should not take DIAZEPAM?,Contraindications,diazepam;fda;label;contraindications
3447,How should I take DIAZEPAM?,Dosage,diazepam;fda;label;dosage
3448,What is the recommended dose of DIAZEPAM?,Dosage,diazepam;fda;label;dosage
3449,Can I take DIAZEPAM with food?,Dosage,diazepam;fda;label;dosage;food
3450,Is DIAZEPAM safe during pregnancy?,Pregnancy,diazepam;fda;label;pregnancy
3451,What are the side effects of DIAZEPAM?,Adverse Reactions,diazepam;fda;label;side effects
3452,Does DIAZEPAM cause drowsiness?,Adverse Reactions,diazepam;fda;label;drowsiness
3453,Can I take DIAZEPAM with alcohol?,Drug Interactions,diazepam;fda;label;alcohol;interactions
3454,Can I take DIAZEPAM with my other prescriptions?,Drug Interactions,diazepam;fda;label;interactions
3455,How do I store DIAZEPAM?,Storage,diazepam;fda;label;storage
3456,What if I miss a dose of DIAZEPAM?,Dosage,diazepam;fda;label;missed dose
3457,Is DIAZEPAM safe for children?,Children,diazepam;fda;label;children;pediatric
3458,Can I take DIAZEPAM if I have kidney disease?,Special Populations,diazepam;fda;label;kidney
3459,Can I take DIAZEPAM if I have liver disease?,Special Populations,diazepam;fda;label;liver
3460,Does DIAZEPAM expire? How long can I keep it?,Storage,diazepam;fda;label;expiration
3461,Does DULOXETINE interact with other medications?,Drug Interactions,duloxetine;fda;label;interactions
3462,Can I take DULOXETINE with blood pressure medication?,Drug Interactions,duloxetine;fda;label;interactions;blood pressure
3463,Can I take DULOXETINE with ibuprofen or aspirin?,Drug Interactions,duloxetine;fda;label;interactions;nsaid
3464,Who should not take DULOXETINE?,Contraindications,duloxetine;fda;label;contraindications
3465,How should I take DULOXETINE?,Dosage,duloxetine;fda;label;dosage
3466,What is the recommended dose of DULOXETINE?,Dosage,duloxetine;fda;label;dosage
3467,Can I take DULOXETINE with food?,Dosage,duloxetine;fda;label;dosage;food
3468,Is DULOXETINE safe during pregnancy?,Pregnancy,duloxetine;fda;label;pregnancy
3469,What are the side effects of DULOXETINE?,Adverse Reactions,duloxetine;fda;label;side effects
3470,Does DULOXETINE cause drowsiness?,Adverse Reactions,duloxetine;fda;label;drowsiness
3471,Can I take DULOXETINE with alcohol?,Drug Interactions,duloxetine;fda;label;alcohol;interactions
3472,Can I take DULOXETINE with my other prescriptions?,Drug Interactions,duloxetine;fda;label;interactions
3473,How do I store DULOXETINE?,Storage,duloxetine;fda;label;storage
3474,What if I miss a dose of DULOXETINE?,Dosage,duloxetine;fda;label;missed dose
3475,Is DULOXETINE safe for children?,Children,duloxetine;fda;label;children;pediatric
3476,Can I take DULOXETINE if I have kidney disease?,Special Populations,duloxetine;fda;label;kidney
3477,Can I take DULOXETINE if I have liver disease?,Special Populations,duloxetine;fda;label;liver
3478,Does DULOXETINE expire? How long can I keep it?,Storage,duloxetine;fda;label;expiration
3479,What should I do if I take too much DULOXETINE?,Overdose,duloxetine;fda;label;overdose
3480,What should I know about DULOXETINE before taking it?,General,duloxetine;fda;label
3481,What are the warnings for PHENOBARBITAL?,Warnings,phenobarbital;fda;label;warnings
3482,Should I avoid PHENOBARBITAL if I have certain conditions?,Warnings,phenobarbital;fda;label;warnings;contraindications
3483,Does PHENOBARBITAL interact with other medications?,Drug Interactions,phenobarbital;fda;label;interactions
3484,Can I take PHENOBARBITAL with blood pressure medication?,Drug Interactions,phenobarbital;fda;label;interactions;blood pressure
3485,Can I take PHENOBARBITAL with ibuprofen or aspirin?,Drug Interactions,phenobarbital;fda;label;interactions;nsaid
3486,Who should not take PHENOBARBITAL?,Contraindications,phenobarbital;fda;label;contraindications
3487,How should I take PHENOBARBITAL?,Dosage,phenobarbital;fda;label;dosage
3488,What is the recommended dose of PHENOBARBITAL?,Dosage,phenobarbital;fda;label;dosage
3489,Can I take PHENOBARBITAL with food?,Dosage,phenobarbital;fda;label;dosage;food
3490,Is PHENOBARBITAL safe during pregnancy?,Pregnancy,phenobarbital;fda;label;pregnancy
3491,What are the side effects of PHENOBARBITAL?,Adverse Reactions,phenobarbital;fda;label;side effects
3492,Does PHENOBARBITAL cause drowsiness?,Adverse Reactions,phenobarbital;fda;label;drowsiness
3493,Can I take PHENOBARBITAL with alcohol?,Drug Interactions,phenobarbital;fda;label;alcohol;interactions
3494,Can I take PHENOBARBITAL with my other prescriptions?,Drug Interactions,phenobarbital;fda;label;interactions
3495,How do I store PHENOBARBITAL?,Storage,phenobarbital;fda;label;storage
3496,What if I miss a dose of PHENOBARBITAL?,Dosage,phenobarbital;fda;label;missed dose
3497,Is PHENOBARBITAL safe for children?,Children,phenobarbital;fda;label;children;pediatric
3498,Can I take PHENOBARBITAL if I have kidney disease?,Special Populations,phenobarbital;fda;label;kidney
3499,Can I take PHENOBARBITAL if I have liver disease?,Special Populations,phenobarbital;fda;label;liver
3500,Does PHENOBARBITAL expire? How long can I keep it?,Storage,phenobarbital;fda;label;expiration
3501,Does GLIMEPIRIDE interact with other medications?,Drug Interactions,glimepiride;fda;label;interactions
3502,Can I take GLIMEPIRIDE with blood pressure medication?,Drug Interactions,glimepiride;fda;label;interactions;blood pressure
3503,Can I take GLIMEPIRIDE with ibuprofen or aspirin?,Drug Interactions,glimepiride;fda;label;interactions;nsaid
3504,Who should not take GLIMEPIRIDE?,Contraindications,glimepiride;fda;label;contraindications
3505,How should I take GLIMEPIRIDE?,Dosage,glimepiride;fda;label;dosage
3506,What is the recommended dose of GLIMEPIRIDE?,Dosage,glimepiride;fda;label;dosage
3507,Can I take GLIMEPIRIDE with food?,Dosage,glimepiride;fda;label;dosage;food
3508,Is GLIMEPIRIDE safe during pregnancy?,Pregnancy,glimepiride;fda;label;pregnancy
3509,What are the side effects of GLIMEPIRIDE?,Adverse Reactions,glimepiride;fda;label;side effects
3510,Does GLIMEPIRIDE cause drowsiness?,Adverse Reactions,glimepiride;fda;label;drowsiness
3511,Can I take GLIMEPIRIDE with alcohol?,Drug Interactions,glimepiride;fda;label;alcohol;interactions
3512,Can I take GLIMEPIRIDE with my other prescriptions?,Drug Interactions,glimepiride;fda;label;interactions
3513,How do I store GLIMEPIRIDE?,Storage,glimepiride;fda;label;storage
3514,What if I miss a dose of GLIMEPIRIDE?,Dosage,glimepiride;fda;label;missed dose
3515,Is GLIMEPIRIDE safe for children?,Children,glimepiride;fda;label;children;pediatric
3516,Can I take GLIMEPIRIDE if I have kidney disease?,Special Populations,glimepiride;fda;label;kidney
3517,Can I take GLIMEPIRIDE if I have liver disease?,Special Populations,glimepiride;fda;label;liver
3518,Does GLIMEPIRIDE expire? How long can I keep it?,Storage,glimepiride;fda;label;expiration
3519,What should I do if I take too much GLIMEPIRIDE?,Overdose,glimepiride;fda;label;overdose
3520,What should I know about GLIMEPIRIDE before taking it?,General,glimepiride;fda;label
3521,What are the warnings for NALOXONE HYDROCHLORIDE?,Warnings,naloxone hydrochloride;fda;label;warnings
3522,Should I avoid NALOXONE HYDROCHLORIDE if I have certain conditions?,Warnings,naloxone hydrochloride;fda;label;warnings;contraindications
3523,Does NALOXONE HYDROCHLORIDE interact with other medications?,Drug Interactions,naloxone hydrochloride;fda;label;interactions
3524,Can I take NALOXONE HYDROCHLORIDE with blood pressure medication?,Drug Interactions,naloxone hydrochloride;fda;label;interactions;blood pressure
3525,Can I take NALOXONE HYDROCHLORIDE with ibuprofen or aspirin?,Drug Interactions,naloxone hydrochloride;fda;label;interactions;nsaid
3526,Who should not take NALOXONE HYDROCHLORIDE?,Contraindications,naloxone hydrochloride;fda;label;contraindications
3527,How should I take NALOXONE HYDROCHLORIDE?,Dosage,naloxone hydrochloride;fda;label;dosage
3528,What is the recommended dose of NALOXONE HYDROCHLORIDE?,Dosage,naloxone hydrochloride;fda;label;dosage
3529,Can I take NALOXONE HYDROCHLORIDE with food?,Dosage,naloxone hydrochloride;fda;label;dosage;food
3530,Is NALOXONE HYDROCHLORIDE safe during pregnancy?,Pregnancy,naloxone hydrochloride;fda;label;pregnancy
3531,What are the side effects of NALOXONE HYDROCHLORIDE?,Adverse Reactions,naloxone hydrochloride;fda;label;side effects
3532,Does NALOXONE HYDROCHLORIDE cause drowsiness?,Adverse Reactions,naloxone hydrochloride;fda;label;drowsiness
3533,Can I take NALOXONE HYDROCHLORIDE with alcohol?,Drug Interactions,naloxone hydrochloride;fda;label;alcohol;interactions
3534,Can I take NALOXONE HYDROCHLORIDE with my other prescriptions?,Drug Interactions,naloxone hydrochloride;fda;label;interactions
3535,How do I store NALOXONE HYDROCHLORIDE?,Storage,naloxone hydrochloride;fda;label;storage
3536,What if I miss a dose of NALOXONE HYDROCHLORIDE?,Dosage,naloxone hydrochloride;fda;label;missed dose
3537,Is NALOXONE HYDROCHLORIDE safe for children?,Children,naloxone hydrochloride;fda;label;children;pediatric
3538,Can I take NALOXONE HYDROCHLORIDE if I have kidney disease?,Special Populations,naloxone hydrochloride;fda;label;kidney
3539,Can I take NALOXONE HYDROCHLORIDE if I have liver disease?,Special Populations,naloxone hydrochloride;fda;label;liver
3540,Does NALOXONE HYDROCHLORIDE expire? How long can I keep it?,Storage,naloxone hydrochloride;fda;label;expiration
3541,Does CIPROFLOXACIN interact with other medications?,Drug Interactions,ciprofloxacin;fda;label;interactions
3542,Can I take CIPROFLOXACIN with blood pressure medication?,Drug Interactions,ciprofloxacin;fda;label;interactions;blood pressure
3543,Can I take CIPROFLOXACIN with ibuprofen or aspirin?,Drug Interactions,ciprofloxacin;fda;label;interactions;nsaid
3544,Who should not take CIPROFLOXACIN?,Contraindications,ciprofloxacin;fda;label;contraindications
3545,How should I take CIPROFLOXACIN?,Dosage,ciprofloxacin;fda;label;dosage
3546,What is the recommended dose of CIPROFLOXACIN?,Dosage,ciprofloxacin;fda;label;dosage
3547,Can I take CIPROFLOXACIN with food?,Dosage,ciprofloxacin;fda;label;dosage;food
3548,What are the side effects of CIPROFLOXACIN?,Adverse Reactions,ciprofloxacin;fda;label;side effects
3549,Does CIPROFLOXACIN cause drowsiness?,Adverse Reactions,ciprofloxacin;fda;label;drowsiness
3550,Can I take CIPROFLOXACIN with alcohol?,Drug Interactions,ciprofloxacin;fda;label;alcohol;interactions
3551,Can I take CIPROFLOXACIN with my other prescriptions?,Drug Interactions,ciprofloxacin;fda;label;interactions
3552,How do I store CIPROFLOXACIN?,Storage,ciprofloxacin;fda;label;storage
3553,What if I miss a dose of CIPROFLOXACIN?,Dosage,ciprofloxacin;fda;label;missed dose
3554,Is CIPROFLOXACIN safe for children?,Children,ciprofloxacin;fda;label;children;pediatric
3555,Can I take CIPROFLOXACIN if I have kidney disease?,Special Populations,ciprofloxacin;fda;label;kidney
3556,Can I take CIPROFLOXACIN if I have liver disease?,Special Populations,ciprofloxacin;fda;label;liver
3557,Does CIPROFLOXACIN expire? How long can I keep it?,Storage,ciprofloxacin;fda;label;expiration
3558,What should I do if I take too much CIPROFLOXACIN?,Overdose,ciprofloxacin;fda;label;overdose
3559,What should I know about CIPROFLOXACIN before taking it?,General,ciprofloxacin;fda;label
3560,What should I know about CIPROFLOXACIN before taking it?,General,ciprofloxacin;fda;label
3561,What are the warnings for CLINDAMYCIN PHOSPHATE?,Warnings,clindamycin phosphate;fda;label;warnings
3562,Should I avoid CLINDAMYCIN PHOSPHATE if I have certain conditions?,Warnings,clindamycin phosphate;fda;label;warnings;contraindications
3563,Does CLINDAMYCIN PHOSPHATE interact with other medications?,Drug Interactions,clindamycin phosphate;fda;label;interactions
3564,Can I take CLINDAMYCIN PHOSPHATE with blood pressure medication?,Drug Interactions,clindamycin phosphate;fda;label;interactions;blood pressure
3565,Can I take CLINDAMYCIN PHOSPHATE with ibuprofen or aspirin?,Drug Interactions,clindamycin phosphate;fda;label;interactions;nsaid
3566,Who should not take CLINDAMYCIN PHOSPHATE?,Contraindications,clindamycin phosphate;fda;label;contraindications
3567,How should I take CLINDAMYCIN PHOSPHATE?,Dosage,clindamycin phosphate;fda;label;dosage
3568,What is the recommended dose of CLINDAMYCIN PHOSPHATE?,Dosage,clindamycin phosphate;fda;label;dosage
3569,Can I take CLINDAMYCIN PHOSPHATE with food?,Dosage,clindamycin phosphate;fda;label;dosage;food
3570,Is CLINDAMYCIN PHOSPHATE safe during pregnancy?,Pregnancy,clindamycin phosphate;fda;label;pregnancy
3571,What are the side effects of CLINDAMYCIN PHOSPHATE?,Adverse Reactions,clindamycin phosphate;fda;label;side effects
3572,Does CLINDAMYCIN PHOSPHATE cause drowsiness?,Adverse Reactions,clindamycin phosphate;fda;label;drowsiness
3573,Can I take CLINDAMYCIN PHOSPHATE with alcohol?,Drug Interactions,clindamycin phosphate;fda;label;alcohol;interactions
3574,Can I take CLINDAMYCIN PHOSPHATE with my other prescriptions?,Drug Interactions,clindamycin phosphate;fda;label;interactions
3575,How do I store CLINDAMYCIN PHOSPHATE?,Storage,clindamycin phosphate;fda;label;storage
3576,What if I miss a dose of CLINDAMYCIN PHOSPHATE?,Dosage,clindamycin phosphate;fda;label;missed dose
3577,Is CLINDAMYCIN PHOSPHATE safe for children?,Children,clindamycin phosphate;fda;label;children;pediatric
3578,Can I take CLINDAMYCIN PHOSPHATE if I have kidney disease?,Special Populations,clindamycin phosphate;fda;label;kidney
3579,Can I take CLINDAMYCIN PHOSPHATE if I have liver disease?,Special Populations,clindamycin phosphate;fda;label;liver
3580,Does CLINDAMYCIN PHOSPHATE expire? How long can I keep it?,Storage,clindamycin phosphate;fda;label;expiration
3581,Does INDOMETHACIN interact with other medications?,Drug Interactions,indomethacin;fda;label;interactions
3582,Can I take INDOMETHACIN with blood pressure medication?,Drug Interactions,indomethacin;fda;label;interactions;blood pressure
3583,Can I take INDOMETHACIN with ibuprofen or aspirin?,Drug Interactions,indomethacin;fda;label;interactions;nsaid
3584,Who should not take INDOMETHACIN?,Contraindications,indomethacin;fda;label;contraindications
3585,How should I take INDOMETHACIN?,Dosage,indomethacin;fda;label;dosage
3586,What is the recommended dose of INDOMETHACIN?,Dosage,indomethacin;fda;label;dosage
3587,Can I take INDOMETHACIN with food?,Dosage,indomethacin;fda;label;dosage;food
3588,Is INDOMETHACIN safe during pregnancy?,Pregnancy,indomethacin;fda;label;pregnancy
3589,What are the side effects of INDOMETHACIN?,Adverse Reactions,indomethacin;fda;label;side effects
3590,Does INDOMETHACIN cause drowsiness?,Adverse Reactions,indomethacin;fda;label;drowsiness
3591,Can I take INDOMETHACIN with alcohol?,Drug Interactions,indomethacin;fda;label;alcohol;interactions
3592,Can I take INDOMETHACIN with my other prescriptions?,Drug Interactions,indomethacin;fda;label;interactions
3593,How do I store INDOMETHACIN?,Storage,indomethacin;fda;label;storage
3594,What if I miss a dose of INDOMETHACIN?,Dosage,indomethacin;fda;label;missed dose
3595,Is INDOMETHACIN safe for children?,Children,indomethacin;fda;label;children;pediatric
3596,Can I take INDOMETHACIN if I have kidney disease?,Special Populations,indomethacin;fda;label;kidney
3597,Can I take INDOMETHACIN if I have liver disease?,Special Populations,indomethacin;fda;label;liver
3598,Does INDOMETHACIN expire? How long can I keep it?,Storage,indomethacin;fda;label;expiration
3599,What should I do if I take too much INDOMETHACIN?,Overdose,indomethacin;fda;label;overdose
3600,What should I know about INDOMETHACIN before taking it?,General,indomethacin;fda;label
3601,Does MORPHINE SULFATE interact with other medications?,Drug Interactions,morphine sulfate;fda;label;interactions
3602,Can I take MORPHINE SULFATE with blood pressure medication?,Drug Interactions,morphine sulfate;fda;label;interactions;blood pressure
3603,Can I take MORPHINE SULFATE with ibuprofen or aspirin?,Drug Interactions,morphine sulfate;fda;label;interactions;nsaid
3604,Who should not take MORPHINE SULFATE?,Contraindications,morphine sulfate;fda;label;contraindications
3605,How should I take MORPHINE SULFATE?,Dosage,morphine sulfate;fda;label;dosage
3606,What is the recommended dose of MORPHINE SULFATE?,Dosage,morphine sulfate;fda;label;dosage
3607,Can I take MORPHINE SULFATE with food?,Dosage,morphine sulfate;fda;label;dosage;food
3608,Is MORPHINE SULFATE safe during pregnancy?,Pregnancy,morphine sulfate;fda;label;pregnancy
3609,What are the side effects of MORPHINE SULFATE?,Adverse Reactions,morphine sulfate;fda;label;side effects
3610,Does MORPHINE SULFATE cause drowsiness?,Adverse Reactions,morphine sulfate;fda;label;drowsiness
3611,Can I take MORPHINE SULFATE with alcohol?,Drug Interactions,morphine sulfate;fda;label;alcohol;interactions
3612,Can I take MORPHINE SULFATE with my other prescriptions?,Drug Interactions,morphine sulfate;fda;label;interactions
3613,How do I store MORPHINE SULFATE?,Storage,morphine sulfate;fda;label;storage
3614,What if I miss a dose of MORPHINE SULFATE?,Dosage,morphine sulfate;fda;label;missed dose
3615,Is MORPHINE SULFATE safe for children?,Children,morphine sulfate;fda;label;children;pediatric
3616,Can I take MORPHINE SULFATE if I have kidney disease?,Special Populations,morphine sulfate;fda;label;kidney
3617,Can I take MORPHINE SULFATE if I have liver disease?,Special Populations,morphine sulfate;fda;label;liver
3618,Does MORPHINE SULFATE expire? How long can I keep it?,Storage,morphine sulfate;fda;label;expiration
3619,What should I do if I take too much MORPHINE SULFATE?,Overdose,morphine sulfate;fda;label;overdose
3620,What should I know about MORPHINE SULFATE before taking it?,General,morphine sulfate;fda;label
3621,Does ONDANSETRON HYDROCHLORIDE interact with other medications?,Drug Interactions,ondansetron hydrochloride;fda;label;interactions
3622,Can I take ONDANSETRON HYDROCHLORIDE with blood pressure medication?,Drug Interactions,ondansetron hydrochloride;fda;label;interactions;blood pressure
3623,Can I take ONDANSETRON HYDROCHLORIDE with ibuprofen or aspirin?,Drug Interactions,ondansetron hydrochloride;fda;label;interactions;nsaid
3624,Who should not take ONDANSETRON HYDROCHLORIDE?,Contraindications,ondansetron hydrochloride;fda;label;contraindications
3625,How should I take ONDANSETRON HYDROCHLORIDE?,Dosage,ondansetron hydrochloride;fda;label;dosage
3626,What is the recommended dose of ONDANSETRON HYDROCHLORIDE?,Dosage,ondansetron hydrochloride;fda;label;dosage
3627,Can I take ONDANSETRON HYDROCHLORIDE with food?,Dosage,ondansetron hydrochloride;fda;label;dosage;food
3628,Is ONDANSETRON HYDROCHLORIDE safe during pregnancy?,Pregnancy,ondansetron hydrochloride;fda;label;pregnancy
3629,What are the side effects of ONDANSETRON HYDROCHLORIDE?,Adverse Reactions,ondansetron hydrochloride;fda;label;side effects
3630,Does ONDANSETRON HYDROCHLORIDE cause drowsiness?,Adverse Reactions,ondansetron hydrochloride;fda;label;drowsiness
3631,Can I take ONDANSETRON HYDROCHLORIDE with alcohol?,Drug Interactions,ondansetron hydrochloride;fda;label;alcohol;interactions
3632,Can I take ONDANSETRON HYDROCHLORIDE with my other prescriptions?,Drug Interactions,ondansetron hydrochloride;fda;label;interactions
3633,How do I store ONDANSETRON HYDROCHLORIDE?,Storage,ondansetron hydrochloride;fda;label;storage
3634,What if I miss a dose of ONDANSETRON HYDROCHLORIDE?,Dosage,ondansetron hydrochloride;fda;label;missed dose
3635,Is ONDANSETRON HYDROCHLORIDE safe for children?,Children,ondansetron hydrochloride;fda;label;children;pediatric
3636,Can I take ONDANSETRON HYDROCHLORIDE if I have kidney disease?,Special Populations,ondansetron hydrochloride;fda;label;kidney
3637,Can I take ONDANSETRON HYDROCHLORIDE if I have liver disease?,Special Populations,ondansetron hydrochloride;fda;label;liver
3638,Does ONDANSETRON HYDROCHLORIDE expire? How long can I keep it?,Storage,ondansetron hydrochloride;fda;label;expiration
3639,What should I do if I take too much ONDANSETRON HYDROCHLORIDE?,Overdose,ondansetron hydrochloride;fda;label;overdose
3640,What should I know about ONDANSETRON HYDROCHLORIDE before taking it?,General,ondansetron hydrochloride;fda;label
3641,"What are the warnings for ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL?",Warnings,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;warnings"
3642,"Should I avoid ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL if I have certain conditions?",Warnings,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;warnings;contraindications"
3643,"How should I take ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL?",Dosage,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;dosage"
3644,"What is the recommended dose of ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL?",Dosage,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;dosage"
3645,"Can I take ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL with food?",Dosage,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;dosage;food"
3646,"Is ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL safe during pregnancy?",Pregnancy,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;pregnancy"
3647,"Can I take ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL with alcohol?",Drug Interactions,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;alcohol;interactions"
3648,"Can I take ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL with my other prescriptions?",Drug Interactions,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;interactions"
3649,"How do I store ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL?",Storage,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;storage"
3650,"What if I miss a dose of ACETAMINOPHEN, DEXTROMETHORPHAN HBR, PHENYLEPHRINE HCL?",Dosage,"acetaminophen, dextromethorphan hbr, phenylephrine hcl;fda;label;missed dose"
